Latitude (decimal degrees):	48.776
Longitude (decimal degrees):	9.146
Elevation (m):	317
Radiation database:	PVGIS-SARAH3


Slope: 10 deg. 
Azimuth: 10 deg. 
Nominal power of the PV system (c-Si) (kWp):	30.0
System losses (%):	12.0
time,P,G(i),H_sun,T2m,WS10m,Int
20200101:0010,0.0,0.0,0.0,-1.89,1.66,0.0
20200101:0110,0.0,0.0,0.0,-2.31,1.52,0.0
20200101:0210,0.0,0.0,0.0,-2.9,1.45,0.0
20200101:0310,0.0,0.0,0.0,-3.06,1.45,0.0
20200101:0410,0.0,0.0,0.0,-3.4,1.59,0.0
20200101:0510,0.0,0.0,0.0,-3.47,1.59,0.0
20200101:0610,0.0,0.0,0.0,-3.7,1.52,0.0
20200101:0710,0.0,0.0,0.0,-3.75,1.66,0.0
20200101:0810,2432.1,122.89,5.97,-3.26,1.52,0.0
20200101:0910,6935.7,282.95,12.06,-0.76,1.31,0.0
20200101:1010,9965.7,387.98,16.23,1.32,1.45,0.0
20200101:1110,11765.4,454.49,18.13,2.73,1.52,0.0
20200101:1210,11543.7,448.34,17.54,3.54,1.45,0.0
20200101:1310,9386.7,372.9,14.55,4.01,1.17,0.0
20200101:1410,5394.3,230.99,9.43,3.7,0.97,0.0
20200101:1510,93.0,11.86,2.59,2.55,1.38,0.0
20200101:1610,0.0,0.0,0.0,0.6,1.66,0.0
20200101:1710,0.0,0.0,0.0,-1.16,1.72,0.0
20200101:1810,0.0,0.0,0.0,-2.22,1.72,0.0
20200101:1910,0.0,0.0,0.0,-2.87,1.59,0.0
20200101:2010,0.0,0.0,0.0,-3.47,1.45,0.0
20200101:2110,0.0,0.0,0.0,-3.71,1.38,0.0
20200101:2210,0.0,0.0,0.0,-3.92,1.38,0.0
20200101:2310,0.0,0.0,0.0,-4.0,1.31,0.0
20200102:0010,0.0,0.0,0.0,-4.09,1.31,0.0
20200102:0110,0.0,0.0,0.0,-4.12,1.24,0.0
20200102:0210,0.0,0.0,0.0,-4.0,1.17,0.0
20200102:0310,0.0,0.0,0.0,-3.83,1.17,0.0
20200102:0410,0.0,0.0,0.0,-3.73,1.17,0.0
20200102:0510,0.0,0.0,0.0,-3.62,1.17,0.0
20200102:0610,0.0,0.0,0.0,-3.64,1.24,0.0
20200102:0710,0.0,0.0,0.0,-3.48,1.24,0.0
20200102:0810,1544.1,79.58,5.99,-3.08,1.1,0.0
20200102:0910,4636.2,190.83,12.1,-1.03,0.97,0.0
20200102:1010,6504.3,256.17,16.29,1.27,0.9,0.0
20200102:1110,11354.4,442.11,18.21,3.15,0.76,0.0
20200102:1210,11485.5,451.69,17.64,4.51,0.55,0.0
20200102:1310,9288.0,372.11,14.66,5.04,0.62,0.0
20200102:1410,5449.5,234.43,9.55,5.02,0.9,0.0
20200102:1510,127.2,13.84,2.72,3.99,1.66,0.0
20200102:1610,0.0,0.0,0.0,1.67,2.0,0.0
20200102:1710,0.0,0.0,0.0,-0.28,1.86,0.0
20200102:1810,0.0,0.0,0.0,-0.84,2.0,0.0
20200102:1910,0.0,0.0,0.0,-0.94,2.14,0.0
20200102:2010,0.0,0.0,0.0,-1.02,2.28,0.0
20200102:2110,0.0,0.0,0.0,-0.77,2.34,0.0
20200102:2210,0.0,0.0,0.0,-0.47,2.41,0.0
20200102:2310,0.0,0.0,0.0,0.1,2.41,0.0
20200103:0010,0.0,0.0,0.0,0.48,2.55,0.0
20200103:0110,0.0,0.0,0.0,0.64,2.55,0.0
20200103:0210,0.0,0.0,0.0,1.24,2.41,0.0
20200103:0310,0.0,0.0,0.0,1.36,2.41,0.0
20200103:0410,0.0,0.0,0.0,1.57,2.41,0.0
20200103:0510,0.0,0.0,0.0,1.8,2.41,0.0
20200103:0610,0.0,0.0,0.0,2.31,2.48,0.0
20200103:0710,0.0,0.0,0.0,2.23,3.03,0.0
20200103:0810,863.1,48.71,6.02,2.99,3.17,0.0
20200103:0910,3238.5,139.33,12.14,4.46,3.24,0.0
20200103:1010,5870.4,235.68,16.36,6.3,3.31,0.0
20200103:1110,4280.1,176.02,18.29,7.23,3.66,0.0
20200103:1210,2983.5,128.36,17.75,7.6,3.93,0.0
20200103:1310,3319.5,141.3,14.78,7.28,3.79,0.0
20200103:1410,831.0,45.72,9.68,6.48,3.72,0.0
20200103:1510,0.0,2.97,2.85,5.97,3.79,0.0
20200103:1610,0.0,0.0,0.0,5.9,3.93,0.0
20200103:1710,0.0,0.0,0.0,5.86,3.93,0.0
20200103:1810,0.0,0.0,0.0,5.73,4.07,0.0
20200103:1910,0.0,0.0,0.0,5.41,4.14,0.0
20200103:2010,0.0,0.0,0.0,5.21,4.14,0.0
20200103:2110,0.0,0.0,0.0,5.09,4.14,0.0
20200103:2210,0.0,0.0,0.0,5.09,4.07,0.0
20200103:2310,0.0,0.0,0.0,4.99,4.0,0.0
20200104:0010,0.0,0.0,0.0,4.99,3.72,0.0
20200104:0110,0.0,0.0,0.0,5.02,3.38,0.0
20200104:0210,0.0,0.0,0.0,5.03,2.9,0.0
20200104:0310,0.0,0.0,0.0,4.94,2.48,0.0
20200104:0410,0.0,0.0,0.0,4.73,2.48,0.0
20200104:0510,0.0,0.0,0.0,4.13,2.69,0.0
20200104:0610,0.0,0.0,0.0,3.18,2.69,0.0
20200104:0710,0.0,0.0,0.0,2.98,2.48,0.0
20200104:0810,1224.3,66.01,6.06,2.51,2.28,0.0
20200104:0910,4049.7,169.89,12.2,2.51,2.34,0.0
20200104:1010,6977.1,273.67,16.44,3.12,3.1,0.0
20200104:1110,6297.9,246.43,18.39,3.51,3.59,0.0
20200104:1210,5677.8,223.99,17.86,3.72,4.0,0.0
20200104:1310,4058.4,166.31,14.91,3.65,4.0,0.0
20200104:1410,3621.9,156.04,9.81,3.51,3.79,0.0
20200104:1510,44.4,8.9,2.99,3.28,3.79,0.0
20200104:1610,0.0,0.0,0.0,2.9,3.86,0.0
20200104:1710,0.0,0.0,0.0,2.67,3.86,0.0
20200104:1810,0.0,0.0,0.0,2.53,3.79,0.0
20200104:1910,0.0,0.0,0.0,2.82,3.66,0.0
20200104:2010,0.0,0.0,0.0,2.81,3.52,0.0
20200104:2110,0.0,0.0,0.0,2.79,3.45,0.0
20200104:2210,0.0,0.0,0.0,2.76,3.38,0.0
20200104:2310,0.0,0.0,0.0,2.38,3.17,0.0
20200105:0010,0.0,0.0,0.0,2.28,3.1,0.0
20200105:0110,0.0,0.0,0.0,2.28,2.9,0.0
20200105:0210,0.0,0.0,0.0,2.29,2.48,0.0
