Latitude (decimal degrees):	48.777
Longitude (decimal degrees):	9.179
Elevation (m):	253
Radiation database:	PVGIS-SARAH3


Slope: 37 deg. (optimum)
Azimuth: 0 deg. 
Nominal power of the PV system (c-Si) (kWp):	30.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20230101:0010,0.0,0.0,0.0,12.83,3.86,0.0
20230101:0110,0.0,0.0,0.0,12.87,4.0,0.0
20230101:0210,0.0,0.0,0.0,12.95,4.07,0.0
20230101:0310,0.0,0.0,0.0,12.67,4.07,0.0
20230101:0410,0.0,0.0,0.0,12.43,4.0,0.0
20230101:0510,0.0,0.0,0.0,12.12,3.79,0.0
20230101:0610,0.0,0.0,0.0,11.59,3.38,0.0
20230101:0710,0.0,0.0,0.0,11.68,3.59,0.0
20230101:0810,5331.9,221.77,5.98,11.45,3.45,0.0
20230101:0910,9625.5,383.41,12.07,12.33,3.38,0.0
20230101:1010,12864.9,513.37,16.24,13.66,3.24,0.0
20230101:1110,14801.7,597.22,18.13,14.77,2.83,0.0
20230101:1210,16455.0,670.37,17.54,15.41,2.55,0.0
20230101:1310,13710.6,556.73,14.54,15.66,2.34,0.0
20230101:1410,4759.5,202.27,9.41,15.23,2.07,0.0
20230101:1510,60.6,10.33,2.57,13.76,2.21,0.0
20230101:1610,0.0,0.0,0.0,12.08,2.41,0.0
20230101:1710,0.0,0.0,0.0,10.85,2.41,0.0
20230101:1810,0.0,0.0,0.0,9.87,2.48,0.0
20230101:1910,0.0,0.0,0.0,10.1,2.69,0.0
20230101:2010,0.0,0.0,0.0,10.09,2.97,0.0
20230101:2110,0.0,0.0,0.0,10.31,3.1,0.0
20230101:2210,0.0,0.0,0.0,10.33,2.97,0.0
20230101:2310,0.0,0.0,0.0,10.08,2.83,0.0
20230102:0010,0.0,0.0,0.0,9.83,2.9,0.0
20230102:0110,0.0,0.0,0.0,9.67,2.9,0.0
20230102:0210,0.0,0.0,0.0,9.53,2.83,0.0
20230102:0310,0.0,0.0,0.0,9.39,2.76,0.0
20230102:0410,0.0,0.0,0.0,9.12,2.69,0.0
20230102:0510,0.0,0.0,0.0,8.91,2.69,0.0
20230102:0610,0.0,0.0,0.0,8.64,2.55,0.0
20230102:0710,0.0,0.0,0.0,10.33,2.9,0.0
20230102:0810,513.9,33.31,6.0,10.61,2.48,0.0
20230102:0910,11602.2,461.35,12.11,11.08,2.14,0.0
20230102:1010,13615.8,547.46,16.3,12.4,1.66,0.0
20230102:1110,18474.9,760.36,18.21,14.05,1.79,0.0
20230102:1210,3354.3,148.23,17.64,14.5,2.21,0.0
20230102:1310,5544.0,229.63,14.65,14.27,4.48,0.0
20230102:1410,1086.3,58.26,9.54,13.46,4.41,0.0
20230102:1510,0.0,1.72,2.7,12.3,3.79,0.0
20230102:1610,0.0,0.0,0.0,11.51,3.72,0.0
20230102:1710,0.0,0.0,0.0,11.15,3.86,0.0
20230102:1810,0.0,0.0,0.0,10.89,3.66,0.0
20230102:1910,0.0,0.0,0.0,10.39,3.45,0.0
20230102:2010,0.0,0.0,0.0,9.69,3.24,0.0
20230102:2110,0.0,0.0,0.0,8.95,2.76,0.0
20230102:2210,0.0,0.0,0.0,8.5,2.34,0.0
20230102:2310,0.0,0.0,0.0,8.2,2.07,0.0
20230103:0010,0.0,0.0,0.0,7.88,1.79,0.0
20230103:0110,0.0,0.0,0.0,7.58,1.59,0.0
20230103:0210,0.0,0.0,0.0,7.2,1.45,0.0
20230103:0310,0.0,0.0,0.0,6.78,1.24,0.0
20230103:0410,0.0,0.0,0.0,6.24,0.83,0.0
20230103:0510,0.0,0.0,0.0,6.78,0.41,0.0
20230103:0610,0.0,0.0,0.0,6.51,0.21,0.0
20230103:0710,0.0,0.0,0.0,4.5,0.9,0.0
20230103:0810,1630.5,77.57,6.03,3.68,1.17,0.0
